drone_no t delta_des delta_l delta_f2 delta_f3 delta_obs[-1] delta_obs[-2] delta_obs[-3] delta_wall cont_s_des cont_s_l cont_s_f2 cont_s_f3 cont_s_obs[-1] cont_s_obs[-2] cont_s_obs[-3] cont_s_wall dist_d_obs_ltr dist_d_obs_dia dist_d_obs_btt relative_s_obs_dia dist_first_saw dist_biggest_infl dist_closest accu_infl max_relative_s extra_dist_with_1st extra_dist_with_2nd extra_dist_with_3rd 
1 9 0.0772283602222 0.0443223104412 0.00225044117224 0.00251339936707 0.0 0.0 0.0 0.0 0.611397372217 0.350888508527 0.0178161729069 0.0198979463494 0.0 0.0 0.0 0.0 996.781589668 996.781589668 4.01623603106 0.749746176828 to_be_removed to_be_removed to_be_removed to_be_removed 0.749746176828 to_be_removed to_be_removed to_be_removed
1 10 0.0527817989865 0.0494843044149 0.0075803807662 0.000164392188213 0.0 0.0 0.0 0.0 0.47978709683 0.449812837186 0.0689057392987 0.00149432668531 0.0 0.0 0.0 0.0 996.741452391 996.741452391 3.96667790544 0.749745098233 to_be_removed to_be_removed to_be_removed to_be_removed 0.749746176828 to_be_removed to_be_removed to_be_removed
1 11 0.0782423162695 0.0773195142942 0.0041173912215 0.00772565045568 0.0 0.0 0.0 0.0 0.467383745898 0.461871349735 0.024595408523 0.0461494958436 0.0 0.0 0.0 0.0 996.678523698 996.678523698 3.93751770501 0.74975663115 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 12 0.00585559560253 0.00894981691774 0.00969166940109 0.0129819389724 0.0 0.0 0.0 0.0 0.156236621526 0.238795376835 0.258589183228 0.346378818411 0.0 0.0 0.0 0.0 996.600998386 996.600998386 3.92745312937 0.74974385957 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 13 0.0796938340346 0.00631275823741 0.000204052444143 5.14086280723e-05 0.0 0.0 0.0 0.0 0.923857373492 0.0731811728643 0.00236549486399 0.000595958780011 0.0 0.0 0.0 0.0 996.552598362 996.552598362 3.88762980186 0.749736004637 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 14 0.079997023279 0.0109264445473 7.43892673278e-05 0.000104751774446 0.0 0.0 0.0 0.0 0.878098050901 0.119935583437 0.000816543765893 0.00114982189585 0.0 0.0 0.0 0.0 996.500922695 996.500922695 3.8515622033 0.749726960435 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 15 0.0779871220016 0.000364834071718 0.0 0.000277687908172 0.0 0.0 0.0 0.0 0.991828501983 0.00463990491683 0.0 0.00353159310041 0.0 0.0 0.0 0.0 996.455837669 996.455837669 3.80842241805 0.749720702706 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 16 0.0787105571229 0.00492293442616 0.0 0.000102443722398 0.0 0.0 0.0 0.0 0.939985406119 0.0587911797988 0.0 0.0012234140822 0.0 0.0 0.0 0.0 996.411328619 996.411328619 3.76475374756 0.749714785407 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 17 0.076592684762 0.0022519375863 0.0 0.0002505618067 0.0 0.0 0.0 0.0 0.96836091325 0.0284712351373 0.0 0.00316785161292 0.0 0.0 0.0 0.0 996.368792972 996.368792972 3.71882426044 0.74971028417 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 18 0.0664212507917 0.0028598177701 0.0 0.000376765952673 0.0 0.0 0.0 0.0 0.953535969854 0.041055220709 0.0 0.00540880943686 0.0 0.0 0.0 0.0 996.326867565 996.326867565 3.67220194121 0.74970634289 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 19 0.0705069325209 0.000933570074671 0.0 0.000319709409273 0.0 0.0 0.0 0.0 0.982535175846 0.0130095779902 0.0 0.00445524616415 0.0 0.0 0.0 0.0 996.285536731 996.285536731 3.62485307178 0.749703049296 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 20 0.0700274325994 0.00183305717578 0.0 0.000312220692596 0.0 0.0 0.0 0.0 0.970275775228 0.0253982033362 0.0 0.00432602143624 0.0 0.0 0.0 0.0 996.244434033 1.68505157954 1.31484083088 0.316419282337 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 21 0.0689022856758 0.00156266334179 0.0 0.000351002657627 0.0 0.0 0.0 0.0 0.972976907686 0.0220665443989 0.0 0.00495654791503 0.0 0.0 0.0 0.0 996.203730933 1.60448566293 1.27016051463 0.303714656506 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 22 0.0676946586903 0.000852598783237 0.0 0.000368852558581 0.0 0.0 0.0 0.0 0.982276258175 0.0123715453882 0.0 0.00535219643723 0.0 0.0 0.0 0.0 996.163351773 1.52698967315 1.22492368808 0.290113927722 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 23 0.0341577836912 0.00054679207028 0.0 0.000501811767066 0.0 0.0 0.0 0.0 0.970215523064 0.0155310473089 0.0 0.0142534296272 0.0 0.0 0.0 0.0 996.123161623 1.45289134485 1.17933510334 0.275447099354 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 24 0.0674905322401 0.000733004643204 0.0 0.000345977334292 0.0 0.0 0.0 0.0 0.984264406861 0.0106899494851 0.0 0.00504564365433 0.0 0.0 0.0 0.0 996.082817955 1.38285563658 1.13474277747 0.258956725601 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 25 0.0338320359773 0.000813292114949 0.0 0.000472256369676 0.0 0.0 0.0 0.0 0.963393026476 0.0231591132309 0.0 0.0134478602931 0.0 0.0 0.0 0.0 996.042652505 1.31721651992 1.08983821991 0.24113268687 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
1 26 0.0335515419382 0.000611189593331 0.0 0.000445679917142 0.0 0.0 0.0 0.0 0.969462062365 0.0176601458359 0.0 0.0128777917993 0.0 0.0 0.0 0.0 996.002497132 1.25675757273 1.04533895407 0.221518818674 to_be_removed to_be_removed to_be_removed to_be_removed 0.74975663115 to_be_removed to_be_removed to_be_removed
