1
r,e,c,o,r,d,i,n,g, ,s,t,a,r,t,s
92.972,148.3,-11.577
83.965,146.54,-8.6344
89.723,157.84,-14.393
92.998,148.3,-11.586
84.012,146.54,-8.6332
89.76,157.84,-14.396
93.024,148.29,-11.595
84.059,146.53,-8.632
89.798,157.84,-14.398
93.051,148.29,-11.604
84.105,146.53,-8.6308
89.835,157.84,-14.401
93.077,148.29,-11.614
84.152,146.52,-8.6296
89.872,157.85,-14.403
93.103,148.28,-11.623
84.198,146.52,-8.6283
89.909,157.85,-14.405
93.129,148.28,-11.632
84.245,146.51,-8.627
89.946,157.85,-14.408
93.155,148.27,-11.642
84.292,146.51,-8.6258
89.983,157.85,-14.41
93.181,148.27,-11.651
84.338,146.5,-8.6245
90.02,157.85,-14.412
93.207,148.27,-11.66
84.385,146.5,-8.6231
90.056,157.85,-14.415
93.232,148.26,-11.669
84.431,146.49,-8.6218
90.093,157.86,-14.417
93.258,148.26,-11.678
84.478,146.49,-8.6204
90.13,157.86,-14.42
93.283,148.26,-11.687
84.524,146.48,-8.6191
90.166,157.86,-14.422
93.309,148.25,-11.696
84.571,146.48,-8.6178
90.202,157.86,-14.425
93.334,148.25,-11.705
84.617,146.47,-8.6164
90.239,157.86,-14.427
93.359,148.24,-11.715
84.664,146.47,-8.6151
90.275,157.87,-14.43
93.384,148.24,-11.724
84.71,146.46,-8.6138
90.311,157.87,-14.432
93.409,148.24,-11.733
84.756,146.46,-8.6126
90.347,157.87,-14.435
93.434,148.23,-11.742
84.802,146.45,-8.6115
90.383,157.87,-14.437
93.459,148.23,-11.751
84.848,146.45,-8.6104
90.419,157.88,-14.44
93.483,148.23,-11.76
84.894,146.44,-8.6092
90.455,157.88,-14.443
93.508,148.22,-11.769
84.94,146.43,-8.6081
90.491,157.88,-14.446
78.519,141.08,-17.318
91.261,132.12,-5.7235
96.033,177.49,-15.727
78.5,141.07,-17.32
91.244,132.09,-5.7303
96.032,177.53,-15.729
78.481,141.07,-17.323
91.228,132.06,-5.7371
96.031,177.56,-15.73
78.462,141.06,-17.325
91.212,132.03,-5.7439
96.029,177.59,-15.731
78.443,141.05,-17.327
91.196,132,-5.7508
96.028,177.62,-15.732
78.424,141.04,-17.33
91.179,131.97,-5.7577
96.027,177.66,-15.733
78.405,141.03,-17.332
91.163,131.94,-5.7646
96.026,177.69,-15.734
78.386,141.02,-17.335
91.147,131.91,-5.7716
96.025,177.72,-15.735
78.367,141.01,-17.337
91.13,131.88,-5.7785
96.024,177.75,-15.736
78.348,141,-17.339
91.114,131.85,-5.7855
96.023,177.79,-15.737
78.329,141,-17.341
91.098,131.82,-5.7925
96.023,177.82,-15.739
78.311,140.99,-17.344
91.082,131.79,-5.7996
96.022,177.85,-15.74
78.292,140.98,-17.346
91.065,131.76,-5.8068
96.021,177.88,-15.741
78.274,140.97,-17.348
91.049,131.74,-5.8141
96.021,177.91,-15.742
78.255,140.96,-17.351
91.033,131.71,-5.8214
96.02,177.95,-15.742
78.237,140.95,-17.353
91.017,131.68,-5.8287
96.019,177.98,-15.743
78.218,140.94,-17.356
91,131.65,-5.8359
96.019,178.01,-15.744
78.2,140.94,-17.358
90.984,131.62,-5.843
96.018,178.04,-15.745
78.181,140.93,-17.361
90.968,131.59,-5.8501
96.018,178.08,-15.746
78.163,140.92,-17.363
90.952,131.56,-5.8572
96.018,178.11,-15.748
78.145,140.91,-17.365
90.936,131.53,-5.8642
96.017,178.14,-15.749
78.127,140.9,-17.368
90.919,131.5,-5.8712
96.017,178.17,-15.75
78.109,140.89,-17.37
90.903,131.47,-5.8782
96.017,178.2,-15.751
78.091,140.88,-17.372
90.887,131.44,-5.8851
96.017,178.24,-15.752
78.073,140.87,-17.374
90.871,131.41,-5.892
96.017,178.27,-15.753
78.055,140.87,-17.377
90.855,131.38,-5.8989
96.017,178.3,-15.754
78.037,140.86,-17.378
90.839,131.35,-5.9057
96.017,178.33,-15.755
78.02,140.85,-17.38
90.822,131.33,-5.9125
96.017,178.36,-15.756
78.002,140.84,-17.382
90.806,131.3,-5.9194
96.017,178.4,-15.757
77.984,140.83,-17.384
90.79,131.27,-5.9263
96.017,178.43,-15.758
77.967,140.82,-17.386
90.774,131.24,-5.9331
96.017,178.46,-15.759
77.949,140.81,-17.388
90.758,131.21,-5.9399
96.017,178.49,-15.76
2
r,e,c,o,r,d,i,n,g, ,s,t,a,r,t,s
65.619,139.88,-14.98
83.89,152.52,-9.2914
82.416,156.75,-19.027
