dcc_des,dcc_l,dcc_f2,dcc_f3,dcc_obs[-1]
0.9959257134,0,0,0.0018567504,0
0.9963855041,0.0020406348,0,0.0013198744,0
0.9865705023,0.0121244805,0,0.0013050171,0
0.9746502502,0.0071134854,0,0.0008683992,0
0.9912595972,0.0020927898,0,0.0008709738,0
0.9922616702,0.0062762898,0,0.0013454138,0
0.9842837495,0.0143263704,0,0.0013898801,0
0.9658088913,0.0073831099,0,0.0002305805,0
0.9856266229,0.0074774004,0,0.0002423458,0
0.984156126,0.0152862313,0,0.0002503568,0
0.9837798876,0.0159667004,0,0.000253412,0
0.9433892472,0.0080138485,0,0.0002349083,0
0.9818451906,0.0083233661,0,0.0002560277,0
0.9724719441,0.0267828669,0,0.000263174,0
0.9745968002,0.0248645297,0,0.00053867,0
0.9448297431,0.010488314,0,0.0006738482,0
0.9725641646,0.0169917452,0,0.001325558,0
0.9752082199,0.0239190387,0,0.0008116376,0
0.9765215092,0.0225855597,0,0.0007116047,0
0.9785656237,0.0145151534,0,0.0005833878,0
0.9763087711,0.0206075785,0,0.0018694801,0
0.9833442516,0.0148308466,0,0.0018249018,0
0.9317576933,0.0042478222,0,0.0004328807,0
0.97830657,0.013336005,0,0.0015330343,0
0.9915289683,0.0071699216,0,0.0004915788,0
0.8997413446,0.0123014227,0,0.0020718429,0
0.9836806714,0.0030851457,0,0.0016706057,0
0.9941320866,0.0045314294,0,0.0013364839,0
0.9465723175,0.013503612,0,0.003432857,0
0.9828656587,0.0118483573,0,0.0045860281,0
0.9550655923,0.0042122431,0,0.0040645522,0
0.9828291979,0.0102557453,0,0.0052220615,0
0.9693982513,0.020883109,0,0.0094000916,0
0.8910006305,0.0193006268,0,0.0135878261,0
0.9700373155,0.0204808266,0,0.0093850761,0
0.9678389632,0.0230799046,0,0.0090811322,0
0.974027754,0.0086246052,0,0.0173476408,0
0.8671962925,0.0487749264,0,0.0840287812,0
0.8846284134,0.0510878723,0,0.0642837143,0
0.6181961115,0.1695870329,0,0.2122168556,0
0.4301788759,0.0937846823,0,0.4760364419,0
0.7968529213,0.046999944,0,0.1561471347,0
0.6143991785,0.1691549373,0,0.2164458842,0
0.4254077917,0.1838417019,0,0.3907505063,0
0.5863668292,0.2829412139,0,0.1306919569,0
0.2545733703,0.2243308314,0,0.5210957983,0
0.8098243968,0.1181451247,0,0.0720304785,0
0.1108626725,0.3343319791,0,0.5548053485,0
0.663077502,0.0561561141,0,0.2807663839,0
