dcc_des,dcc_l,dcc_f2,dcc_f3,dcc_obs[-1]
0.5653788479,0.4346211521,0,0,0
0.3569172229,0.6430548231,0.000027954,0,0
0.8560508848,0.1439491152,0,0,0
0.4976168174,0.5019412235,0.0004419591,0,0
0.5624191408,0.4375652462,0.000015613,0,0
0.882516431,0.0818916707,0.0355918983,0,0
0.589153837,0.3826110304,0.0282351326,0,0
0.8252511681,0.1671895427,0.0075592892,0,0
0.7395101592,0.2249811486,0.0355086922,0,0
0.6904341443,0.2721906802,0.0373751755,0,0
0.5926172554,0.4002246449,0.0071580997,0,0
0.8656015698,0.1337082996,0.0006901306,0,0
0.9370342413,0.0612028535,0.0017629052,0,0
0.614353925,0.385546116,0.000099959,0,0
0.6670588221,0.3320997702,0.0008414077,0,0
0.7703213482,0.229469595,0.0002090568,0,0
0.8313099815,0.1665499705,0.002140048,0,0
0.6997035278,0.2908779183,0.0094185539,0,0
0.6346049593,0.3553479749,0.0100470658,0,0
0.8992830669,0.0999958637,0.0007210693,0,0
0.9408734274,0.0581665763,0.0009599963,0,0
0.9277522941,0.0658733608,0.0063743452,0,0
0.9910884561,0.0057508742,0.0031606697,0,0
0.9332457362,0.0651421049,0.0016121589,0,0
0.9593899169,0.0372855567,0.0033245264,0,0
0.9946735631,0.0010323801,0.0042940569,0,0
0.7481805462,0.2490529135,0.0027665404,0,0
0.9561992677,0.0388022435,0.0049984889,0,0
0.9692825423,0.0246588057,0.006058652,0,0
0.9903497936,0.0063749522,0.0032752542,0,0
0.9985299005,0.0003359143,0.0011341852,0,0
0.9834767065,0.0161233112,0.0003999823,0,0
0.9903666301,0.0086789036,0.0009544663,0,0
0.9601485628,0.0198647338,0.0199867034,0,0
0.9452731433,0.0313365519,0.0233853396,3.66321528858E-08,0
0.8343833074,0.0398465436,0,0,0
0.960123725,0.0219470542,0,0.0002985315,0
0.4342822604,0.0865431453,0,0,0
0.9665398865,0.0044476335,0,0.00030421,0
0.932164679,0.0079740574,0,0.0013504467,0
0.9616804944,0.0021906424,0,0.0006213896,0
0.878138919,0.0224840961,0,2.00185734532E-05,0
0.963888034,0.0083994235,0,0.0011004199,0
0.5614557499,0.0751970173,0,0,0
0.9510176542,0.0056995806,0,0.004387901,0
0.9873078435,0.0028395061,0,0.0025036018,0
0.9013147251,0.0172885046,0,0.002331326,0
0.9489963729,0.0152844078,0,0.0027716806,0
0.8540031724,0.0214510358,0,0.0044197403,0.1201260516
0.6113753385,0.0292298188,0,0.0027343868,0.3566604558
0.61256668,0.0380048918,0,0.0009083647,0.3485200635
0.5368604277,0.0324621102,0,0.0022095123,0.4284679498
0.5927631122,0.0204119463,0,0.0024141128,0.3844108287
0.6872597585,0.0127723512,0,0.0001238139,0.2998440763
0.6864887317,0.0174100766,0,0.00038473,0.2957164618
0.7205237127,0.0141757568,0,0.0029464879,0.2623540426
0.7847087244,0.0032797176,0,0.0075483914,0.2044631665
0.8548699674,0.0012814153,0,0.0134074443,0.1303765925
0.8592363136,0.0047265913,0,0.0138164448,0.1222206503
0.9124530812,0.0046786804,0,0.0169032351,0.0659650032
0.9514445259,0.0060348353,0,0.0174928958,0.025027743
0.9743643507,0.0010823448,0,0.0155612435,0.0088531871
0.9769641642,0.0057078453,0,0.0161703287,0.001157413
0.983470798,0.0070918633,0,0.0094308588,6.47984789775E-06
0.9839030451,0.0063715833,0,0.0097253716,0
0.9905015026,6.91673425302E-05,0,0.0082155456,0
0.9874576785,0.00557191,0,0.0069536639,0
0.987702546,0.0054475987,0,0.0068498553,0
0.9894997324,0.0049335422,0,0.0055667255,0
0.992655754,0.0011438673,0,0.0034967246,0
0.99180437,0.0045613816,0,0.0034898848,0
0.9924190546,0.0041868645,0,0.0033940809,0
0.9898984341,0.0075940853,0,0.0025074806,0
