3.5463e-11,3.5463e-11,3.5463e-11,3.5463e-11,1
2.5061e-11,2.5061e-11,2.5061e-11,2.5061e-11,1
7.1757e-11,7.1757e-11,7.1757e-11,7.1757e-11,1
1.5579e-10,1.5579e-10,1.5579e-10,1.5579e-10,1
6.1548e-11,6.1548e-11,6.1548e-11,6.1548e-11,1
5.0839e-11,5.0839e-11,5.0839e-11,5.0839e-11,1
4.3848e-11,4.3848e-11,4.3848e-11,4.3848e-11,1
5.5097e-11,5.5097e-11,5.5097e-11,5.5097e-11,1
3.1209e-11,3.1209e-11,3.1209e-11,3.1209e-11,1
4.3114e-11,4.3114e-11,4.3114e-11,4.3114e-11,1
4.1656e-11,4.1656e-11,4.1656e-11,4.1656e-11,1
7.4934e-11,7.4934e-11,7.4934e-11,7.4934e-11,1
2.4674e-11,2.4674e-11,2.4674e-11,2.4674e-11,1
2.7756e-11,2.7756e-11,2.7756e-11,2.7756e-11,1
2.9986e-11,2.9986e-11,2.9986e-11,2.9986e-11,1
7.7138e-11,7.7138e-11,7.7138e-11,7.7138e-11,1
2.22e-11,2.22e-11,2.22e-11,2.22e-11,1
6.0753e-11,6.0753e-11,6.0753e-11,6.0753e-11,1
6.7398e-11,6.7398e-11,6.7398e-11,6.7398e-11,1
9.1717e-12,9.1717e-12,9.1717e-12,9.1717e-12,1
2.748e-11,2.748e-11,2.748e-11,2.748e-11,1
4.5314e-12,4.5314e-12,4.5314e-12,4.5314e-12,1
2.4576e-11,2.4576e-11,2.4576e-11,2.4576e-11,1
1.5541e-11,1.5541e-11,1.5541e-11,1.5541e-11,1
2.8115e-11,2.8115e-11,2.8115e-11,2.8115e-11,1
8.5632e-12,8.5632e-12,8.5632e-12,8.5632e-12,1
3.1074e-11,3.1074e-11,3.1074e-11,3.1074e-11,1
3.9341e-11,3.9341e-11,3.9341e-11,3.9341e-11,1
1.6423e-11,1.6423e-11,1.6423e-11,1.6423e-11,1
8.1159e-12,8.1159e-12,8.1159e-12,8.1159e-12,1
1.14e-12,1.14e-12,1.14e-12,1.14e-12,1
1.8443e-11,1.8443e-11,1.8443e-11,1.8443e-11,1
1.3106e-11,1.3106e-11,1.3106e-11,1.3106e-11,1
1.0398e-11,1.0398e-11,1.0398e-11,1.0398e-11,1
0.17429,0.17429,0.17429,0.17429,0.30285
3.0807e-11,3.0807e-11,3.0807e-11,3.0807e-11,1
4.9974e-11,4.9974e-11,4.9974e-11,4.9974e-11,1
2.3235e-11,2.3235e-11,2.3235e-11,2.3235e-11,1
4.1906e-11,4.1906e-11,4.1906e-11,4.1906e-11,1
1.7482e-11,1.7482e-11,1.7482e-11,1.7482e-11,1
7.1434e-11,7.1434e-11,7.1434e-11,7.1434e-11,1
3.247e-11,3.247e-11,3.247e-11,3.247e-11,1
